"","wage","education","experience","age","raceColor","dad_education","mom_education","rural","city","z1","z2","IQscore","logWage"
"2939",875,12,14,32,0,10,11,1,1,0,0,98,6.77422388635761
"1032",429,9,16,31,0,3,7,0,0,0,0,NA,6.06145691892802
"2076",577,13,6,25,0,NA,1,1,1,0,1,NA,6.3578422665081
"297",813,12,8,26,0,10,12,0,1,0,0,105,6.70073110954781
"2163",869,12,16,34,0,12,12,0,1,1,1,96,6.76734312526539
"2015",325,12,9,27,1,2,6,1,1,0,0,68,5.78382518232974
"1771",292,12,15,33,1,5,9,1,0,0,0,NA,5.67675380226828
"1556",450,12,7,25,0,8,12,1,1,1,1,86,6.10924758276437
"2419",400,12,15,33,0,NA,NA,0,0,0,0,105,5.99146454710798
"2100",538,18,10,34,0,13,14,0,1,1,1,121,6.28785856016178
"1093",643,12,12,30,0,12,12,0,0,1,0,104,6.46614472423762
"2142",148,12,7,25,1,NA,9,0,1,1,1,NA,4.99721227376411
"286",445,16,2,24,0,12,12,0,1,1,1,111,6.09807428216624
"1037",380,16,2,24,0,8,12,0,0,0,0,NA,5.94017125272043
"939",656,12,9,27,0,NA,8,0,1,0,1,106,6.48616078894409
"93",202,13,5,24,0,12,12,1,1,1,1,NA,5.30826769740121
"764",600,11,7,24,0,9,NA,0,1,1,1,NA,6.39692965521615
"2720",419,12,7,25,1,9,2,1,0,1,0,NA,6.03787091992214
"1641",450,10,14,30,0,9,9,1,1,1,1,90,6.10924758276437
"1791",198,12,8,26,1,5,8,0,1,0,1,NA,5.28826703069454
"458",476,14,4,24,1,12,14,0,1,1,1,NA,6.16541785423142
"2599",375,8,16,30,1,NA,NA,1,1,0,0,NA,5.92692602597041
"1960",400,11,9,26,1,12,6,1,1,0,1,NA,5.99146454710798
"88",588,14,4,24,0,16,12,0,1,1,1,106,6.37672694789863
"319",986,16,12,34,0,12,12,0,1,1,1,90,6.89365635460264
"651",928,16,9,31,0,NA,NA,1,1,1,1,120,6.8330317327862
"2499",500,12,10,28,1,8,2,1,1,0,1,85,6.21460809842219
"1946",365,12,13,31,1,NA,8,1,1,1,1,70,5.89989735358249
"2409",790,16,10,32,0,13,13,0,1,0,0,110,6.67203294546107
"1727",583,16,8,30,0,16,16,0,1,1,1,114,6.36818718635049
"2827",292,10,8,24,1,3,NA,1,0,0,0,NA,5.67675380226828
"1843",500,12,7,25,0,1,6,1,1,0,0,116,6.21460809842219
"1443",933,13,15,34,0,6,6,1,1,0,1,NA,6.83840520084734
"1047",535,10,13,29,0,8,12,0,1,0,0,NA,6.28226674689601
"920",667,7,20,33,0,NA,8,0,0,0,1,NA,6.50279004591562
"1431",337,14,6,26,0,12,12,1,1,0,1,118,5.82008293035236
"296",365,12,8,26,0,11,12,0,1,0,0,98,5.89989735358249
"2681",1442,18,9,33,0,NA,NA,1,0,1,0,101,7.27378631784489
"2990",300,9,10,25,1,0,2,1,1,0,0,NA,5.7037824746562
"455",802,12,14,32,0,10,9,1,0,1,1,110,6.68710860786651
"1269",315,12,8,26,0,10,12,0,0,0,0,116,5.75257263882563
"2778",250,12,11,29,0,7,6,1,0,0,1,96,5.52146091786225
"1258",450,13,12,31,0,8,12,0,0,0,1,NA,6.10924758276437
"2494",1155,18,8,32,0,6,12,1,1,0,1,106,7.05185562295589
"2455",563,10,18,34,0,6,NA,1,1,0,1,86,6.33327962813969
"84",810,18,7,31,0,8,8,1,1,1,1,115,6.69703424766648
"60",769,12,16,34,0,10,10,0,1,1,1,95,6.64509096950564
"862",481,17,7,30,0,12,11,0,1,1,1,121,6.17586727010576
"656",1026,18,9,33,0,8,12,0,1,0,1,117,6.93342302573071
"2423",144,14,7,27,0,18,12,0,0,0,0,114,4.969813299576
"2090",332,12,8,26,1,6,11,0,1,1,1,103,5.80513496891649
"768",1055,14,13,33,0,14,10,0,1,1,1,98,6.96129604591017
"1634",872,18,4,28,0,14,8,0,1,1,1,127,6.77078942390898
"885",672,16,7,29,0,14,12,0,1,0,1,93,6.51025834052315
"1412",300,7,14,27,0,4,8,1,1,0,1,NA,5.7037824746562
"680",600,15,3,24,0,8,16,0,1,0,1,NA,6.39692965521615
"688",378,16,2,24,0,12,12,0,1,0,1,108,5.93489419561959
"2888",632,14,8,28,1,NA,NA,0,1,1,0,105,6.44888939414686
"2976",475,7,14,27,0,NA,8,1,1,0,0,NA,6.16331480403464
"1707",438,12,9,27,0,NA,12,1,1,0,1,83,6.08221891037645
"2893",572,9,9,24,1,5,5,1,0,1,0,NA,6.3491389913798
"2958",462,14,12,32,0,8,8,1,0,0,0,92,6.13556489108174
"1400",1058,12,11,29,0,12,12,0,1,0,1,NA,6.96413561241824
"294",250,7,20,33,1,6,5,0,1,1,1,NA,5.52146091786225
"723",962,12,10,28,1,NA,6,0,1,0,1,80,6.86901445066571
"658",375,18,5,29,0,16,16,0,1,0,1,125,5.92692602597041
"2262",625,16,4,26,0,12,12,0,1,1,1,92,6.4377516497364
"2151",800,11,7,24,1,NA,9,0,1,1,1,NA,6.68461172766793
"2190",553,16,2,24,0,8,11,0,1,0,1,NA,6.31535800152233
"2562",310,12,11,29,1,8,2,1,0,0,1,62,5.73657229747919
"2327",625,12,8,26,0,12,12,0,0,1,1,NA,6.4377516497364
"843",1000,11,9,26,0,10,11,0,1,0,1,97,6.90775527898214
"2674",403,12,6,24,1,NA,NA,1,0,0,0,61,5.99893656194668
"1377",650,13,7,26,0,12,12,0,1,0,0,109,6.47697236288968
"2670",625,12,11,29,1,NA,10,1,0,0,0,55,6.4377516497364
"615",769,18,8,32,0,NA,7,0,1,1,1,105,6.64509096950564
"927",1101,16,7,29,0,12,14,1,1,0,0,106,7.00397413672268
"2977",340,11,11,28,1,NA,9,1,0,0,0,100,5.82894561761021
"2836",470,16,6,28,1,8,5,1,0,0,0,NA,6.1527326947041
"2840",200,10,8,24,1,1,4,1,1,0,0,NA,5.29831736654804
"974",352,15,3,24,1,8,10,0,1,0,1,109,5.8636311755981
"386",379,17,4,27,0,8,12,0,1,1,1,119,5.93753620508243
"1373",1115,12,9,27,0,12,11,0,1,0,0,100,7.01660968389422
"254",136,12,6,24,0,8,9,0,1,0,1,NA,4.91265488573605
"1650",1202,16,11,33,0,8,6,0,1,0,1,115,7.09174211509515
"1685",229,10,10,26,1,NA,8,1,1,0,1,NA,5.43372200355424
"1910",295,11,12,29,1,12,NA,1,0,0,1,NA,5.68697535633982
"2044",304,12,8,26,0,6,8,1,0,0,1,74,5.71702770140622
"1002",800,13,13,32,0,9,7,1,1,0,1,92,6.68461172766793
"1560",759,16,4,26,0,12,8,0,1,1,1,130,6.63200177739563
"2514",235,12,9,27,1,NA,NA,1,1,0,1,96,5.45958551414416
"2742",475,16,3,25,1,7,10,1,1,0,1,NA,6.16331480403464
"449",851,17,6,29,0,8,12,0,1,1,1,96,6.74641212857337
"472",989,16,11,33,0,12,8,0,0,1,1,118,6.89669433162271
"195",726,18,8,32,0,16,12,0,1,1,1,114,6.5875500148248
"2057",413,9,18,33,1,NA,3,1,0,0,1,NA,6.02344759296103
"1309",962,18,5,29,0,8,18,0,1,0,0,105,6.86901445066571
"315",325,12,8,26,0,8,12,0,1,1,1,114,5.78382518232974
"2433",433,17,3,26,0,8,8,0,1,0,0,129,6.07073772800249
"1237",577,16,12,34,0,NA,18,0,1,0,1,113,6.3578422665081
"1318",433,11,15,32,0,NA,NA,0,0,0,0,NA,6.07073772800249
"1434",757,16,5,27,0,17,16,1,1,0,1,104,6.62936325343745
"1374",1100,12,8,26,0,12,11,0,1,0,0,104,7.00306545878646
"969",500,12,10,28,0,12,12,0,0,0,1,86,6.21460809842219
"2035",462,11,10,27,1,7,7,1,1,0,1,NA,6.13556489108174
"2132",673,12,10,28,1,12,11,0,1,1,1,65,6.51174532964473
"2663",764,16,10,32,0,NA,12,1,0,0,0,114,6.63856778916652
"1603",624,14,7,27,1,NA,11,1,1,1,0,74,6.43615036836943
"1365",550,8,19,33,0,7,10,0,0,1,0,NA,6.30991827822652
"2075",600,12,12,30,0,8,10,1,0,0,0,97,6.39692965521615
"2233",962,17,2,25,0,12,11,1,1,1,1,107,6.86901445066571
"1919",577,16,9,31,0,8,14,1,0,0,1,111,6.3578422665081
"1352",900,12,9,27,0,NA,11,0,1,0,0,100,6.80239476332431
"2184",467,14,7,27,0,8,12,0,1,1,1,114,6.1463292576689
"569",625,18,6,30,0,NA,14,0,1,0,1,97,6.4377516497364
"2753",447,16,3,25,0,18,12,1,0,0,0,118,6.10255859461357
"1642",438,15,6,27,1,NA,16,1,1,1,1,NA,6.08221891037645
"1659",661,12,7,25,1,9,6,1,1,1,1,107,6.49375383985169
"346",514,12,9,27,0,14,12,0,1,1,1,NA,6.24222326545517
"1838",577,16,2,24,0,12,12,1,1,0,0,140,6.3578422665081
"182",700,12,13,31,0,11,9,0,1,1,1,105,6.5510803350434
"717",462,12,15,33,0,NA,NA,0,1,0,1,85,6.13556489108174
"1131",1319,18,7,31,0,18,12,0,1,1,1,137,7.18462915271731
"1159",539,15,10,31,0,10,12,0,1,1,1,134,6.289715570909
"2931",591,17,2,25,0,12,10,1,1,0,0,108,6.3818160174061
"341",463,15,3,24,0,7,8,0,0,1,1,118,6.13772705408623
"1800",400,16,6,28,0,16,16,1,0,0,1,122,5.99146454710798
"625",500,12,10,28,0,11,11,0,0,0,1,NA,6.21460809842219
"1104",817,14,5,25,0,12,12,0,1,0,0,114,6.70563909486
"325",700,15,4,25,0,9,10,0,1,1,1,120,6.5510803350434
"554",509,16,2,24,0,12,12,0,0,0,1,121,6.23244801655052
"2960",577,13,9,28,0,NA,10,1,1,0,0,83,6.3578422665081
"2366",577,13,11,30,0,NA,9,0,1,0,1,NA,6.3578422665081
"1020",277,13,7,26,0,NA,14,0,0,0,0,119,5.62401750618734
"1138",434,18,6,30,0,11,12,0,0,0,1,111,6.07304453410041
"96",625,18,2,26,0,14,12,0,1,1,1,123,6.4377516497364
"2299",801,15,10,31,0,12,12,0,1,1,1,91,6.68586094706836
"549",700,10,11,27,0,10,6,0,0,0,1,NA,6.5510803350434
"1133",300,16,3,25,0,12,12,0,1,1,1,101,5.7037824746562
"1639",400,5,21,32,0,0,4,1,1,1,1,NA,5.99146454710798
"923",577,12,14,32,0,NA,12,0,1,1,1,97,6.3578422665081
"598",342,13,7,26,0,12,13,0,0,0,0,85,5.8348107370626
"2961",180,8,18,32,1,NA,NA,1,0,0,0,NA,5.19295685089021
"588",500,15,6,27,0,12,12,0,1,1,1,106,6.21460809842219
"2108",241,10,15,31,0,8,12,0,1,1,1,94,5.48479693349065
"2764",250,12,7,25,0,13,10,1,0,1,0,113,5.52146091786225
"2474",450,12,13,31,0,8,12,1,0,1,0,68,6.10924758276437
"919",524,12,7,25,0,6,8,0,1,1,0,107,6.26149168432104
"373",721,12,14,32,0,9,6,0,1,1,1,101,6.58063913728495
"1344",693,16,2,24,0,10,12,0,0,0,0,NA,6.5410299991899
"1059",1187,12,7,25,0,8,15,0,0,0,0,105,7.07918439460967
"2890",300,8,18,32,1,NA,5,1,0,1,0,NA,5.7037824746562
"2128",442,17,2,25,0,10,12,0,1,1,1,NA,6.0913098820777
"32",457,12,7,25,1,NA,11,0,1,1,1,104,6.12468339089421
"1568",657,12,9,27,0,12,12,1,1,1,1,86,6.48768401848461
"2481",350,13,6,25,1,NA,NA,1,0,1,0,NA,5.85793315448346
"1053",434,12,12,30,0,8,8,0,0,0,1,83,6.07304453410041
"1688",2083,16,5,27,0,NA,NA,1,1,0,1,60,7.64156444126097
"2733",250,5,23,34,1,NA,6,1,0,0,1,NA,5.52146091786225
"1864",625,11,13,30,1,NA,9,1,1,1,0,NA,6.4377516497364
"964",735,14,4,24,0,11,11,1,1,0,1,NA,6.59987049921284
"1417",989,14,10,30,0,12,14,1,1,1,1,NA,6.89669433162271
"2472",578,14,4,24,1,6,12,0,1,1,0,NA,6.35957386867238
"83",1143,12,7,25,0,8,6,0,1,1,1,NA,7.04141166379481
"1152",225,15,4,25,0,15,12,0,0,1,1,107,5.41610040220442
"602",400,10,16,32,0,NA,NA,0,0,0,0,NA,5.99146454710798
"2331",769,15,12,33,0,16,12,0,1,1,1,112,6.64509096950564
"125",337,12,8,26,0,8,10,0,1,0,1,93,5.82008293035236
"793",658,15,5,26,0,12,12,0,1,0,1,NA,6.48920493132532
"15",894,16,9,31,1,NA,8,0,1,1,1,116,6.79570577517351
"142",635,14,8,28,0,12,9,0,1,0,1,103,6.45362499889269
"168",1100,12,9,27,0,12,10,0,1,0,1,101,7.00306545878646
"1696",702,17,5,28,1,NA,12,0,1,0,1,NA,6.55393340402581
"208",689,12,14,32,0,12,12,0,1,1,1,97,6.53524127101366
"1118",700,13,14,33,0,8,15,0,1,1,1,108,6.5510803350434
"748",673,18,0,24,0,14,NA,1,1,1,1,NA,6.51174532964473
"1028",491,15,4,25,0,12,15,0,1,0,0,144,6.19644412779452
"2662",592,18,3,27,0,12,12,1,1,0,1,127,6.38350663488401
"1807",325,12,10,28,1,NA,NA,1,0,0,1,69,5.78382518232974
"131",702,14,8,28,0,12,12,0,1,0,1,113,6.55393340402581
"5",729,12,16,34,0,8,7,0,1,1,1,108,6.59167373200866
"2950",506,17,8,31,1,NA,NA,0,1,0,0,NA,6.22653666928747
"710",297,12,8,26,0,NA,8,0,1,1,1,NA,5.6937321388027
"148",1400,12,7,25,0,8,14,0,1,0,1,NA,7.24422751560335
"1073",500,13,8,27,0,12,12,0,1,0,0,97,6.21460809842219
"2528",596,12,14,32,0,12,14,1,1,0,1,98,6.39024066706535
"1777",250,8,20,34,0,NA,NA,1,1,0,0,NA,5.52146091786225
"3008",500,12,6,24,0,11,NA,1,0,0,1,109,6.21460809842219
"2525",711,12,14,32,0,9,12,1,1,0,1,106,6.56667242980324
"1725",1269,17,10,33,0,16,16,1,1,1,1,127,7.14598446771439
"384",721,18,6,30,0,12,12,0,1,1,1,105,6.58063913728495
"2086",750,15,4,25,0,16,16,1,1,1,1,105,6.62007320653036
"1572",535,12,8,26,0,8,7,1,1,1,1,105,6.28226674689601
"1276",430,13,5,24,0,15,10,0,1,0,1,NA,6.06378520868761
"1236",1202,12,13,31,0,8,12,0,1,0,1,NA,7.09174211509515
"2841",142,8,16,30,1,NA,NA,1,0,0,0,NA,4.95582705760126
"1324",625,12,15,33,0,10,12,0,0,1,0,102,6.4377516497364
"541",313,17,2,25,0,12,12,1,1,0,1,101,5.74620319054015
"2130",1275,18,4,28,0,NA,12,0,1,1,1,114,7.15070145759253
"255",575,12,14,32,0,10,9,0,1,0,1,91,6.35437004079735
"714",277,12,7,25,1,NA,10,0,1,1,1,NA,5.62401750618734
"1846",500,17,3,26,0,13,12,1,0,0,0,NA,6.21460809842219
"257",310,12,13,31,0,8,9,0,1,0,1,110,5.73657229747919
"1684",363,10,8,24,1,15,9,1,1,0,1,NA,5.89440283426485
"244",202,17,3,26,0,18,16,0,1,0,1,124,5.30826769740121
"2296",1200,12,11,29,0,8,12,0,1,1,1,100,7.09007683577609
"2918",450,7,17,30,0,NA,NA,1,1,0,0,NA,6.10924758276437
"970",543,12,7,25,1,NA,NA,0,1,0,1,101,6.29710931993394
"200",1442,18,10,34,0,16,12,0,1,0,1,114,7.27378631784489
"1591",984,12,9,27,0,7,7,0,0,1,1,94,6.89162589705225
"2522",247,10,17,33,1,NA,10,1,1,0,1,NA,5.50938833662798
"40",235,11,7,24,1,6,12,0,1,1,1,65,5.45958551414416
"2332",688,11,17,34,1,NA,NA,0,1,1,1,64,6.53378883793334
"418",561,16,4,26,0,12,15,0,1,1,1,122,6.3297209055227
"1112",628,13,8,27,0,12,12,0,0,0,0,95,6.4425401664682
"1354",485,16,2,24,0,8,12,0,0,0,0,104,6.18414889093748
"1885",361,16,5,27,0,12,12,1,1,0,1,112,5.88887795833288
"501",524,14,5,25,0,10,11,0,1,0,1,106,6.26149168432104
"2690",625,13,6,25,1,3,7,1,0,1,0,NA,6.4377516497364
"2573",490,14,9,29,0,11,9,1,1,0,1,83,6.19440539110467
"993",713,16,8,30,0,NA,12,0,0,0,1,101,6.5694814204143
"2678",400,14,7,27,1,NA,NA,1,0,1,0,71,5.99146454710798
"1719",577,14,5,25,0,6,12,1,1,1,1,108,6.3578422665081
"2555",295,17,9,32,0,12,14,1,0,0,1,106,5.68697535633982
"869",549,15,13,34,0,12,12,0,1,1,1,NA,6.30809844150953
"1314",430,18,5,29,0,17,12,0,1,0,0,117,6.06378520868761
"1883",450,12,14,32,1,NA,9,1,1,0,1,74,6.10924758276437
"2779",155,12,8,26,0,7,7,1,0,0,1,106,5.04342511691925
"1815",392,8,20,34,0,5,8,1,1,0,0,NA,5.97126183979046
"2617",688,12,7,25,0,12,12,1,0,0,0,96,6.53378883793334
"632",817,16,4,26,0,12,11,0,1,1,1,99,6.70563909486
"1111",470,14,6,26,0,12,12,0,0,0,0,100,6.1527326947041
"528",308,7,18,31,0,5,8,0,1,0,0,NA,5.73009978297357
"338",817,12,6,24,0,8,12,0,0,1,1,97,6.70563909486
"2372",1000,9,15,30,0,8,NA,0,1,0,1,96,6.90775527898214
"1543",340,12,16,34,1,8,NA,1,1,1,1,NA,5.82894561761021
"1014",226,12,6,24,0,8,8,0,0,1,0,NA,5.42053499927229
"1933",420,12,15,33,0,3,NA,1,1,0,1,NA,6.04025471127741
"1202",470,14,5,25,0,12,12,0,1,1,1,111,6.1527326947041
"2943",857,9,9,24,0,7,11,1,0,0,0,NA,6.75343791859778
"1143",435,12,10,28,0,12,12,0,0,0,1,101,6.07534603108868
"2064",188,11,9,26,1,2,8,1,1,1,0,NA,5.23644196282995
"2600",577,9,15,30,0,5,4,1,0,0,0,NA,6.3578422665081
"1177",600,18,5,29,0,8,12,0,1,1,1,113,6.39692965521615
"422",580,16,6,28,0,10,12,0,1,1,1,119,6.36302810354046
"2062",393,10,18,34,1,6,12,1,1,1,0,NA,5.97380961186926
"305",715,14,5,25,0,12,12,0,1,0,0,112,6.57228254269401
"285",493,10,15,31,0,NA,NA,0,1,1,1,81,6.20050917404269
"1951",833,17,5,28,0,11,12,1,1,1,1,102,6.72503364216684
"497",625,16,6,28,0,11,11,0,1,0,1,103,6.4377516497364
"2686",266,13,6,25,1,10,12,1,1,1,0,69,5.5834963087817
"2052",235,9,19,34,1,NA,NA,1,1,0,1,NA,5.45958551414416
"2442",508,16,8,30,0,NA,NA,0,1,0,1,111,6.23048144757848
"2234",692,15,9,30,0,12,12,0,1,1,1,107,6.53958595561767
"2185",643,18,3,27,0,13,13,0,1,1,1,118,6.46614472423762
"379",805,12,14,32,0,NA,9,0,0,1,1,88,6.69084227741856
"2995",432,14,7,27,0,5,12,1,0,0,0,105,6.06842558824411
"2456",649,13,13,32,0,7,0,1,1,0,1,114,6.47543271670409
"1055",542,10,10,26,0,8,8,0,0,0,1,93,6.29526600143965
"2852",250,14,7,27,1,NA,10,1,0,1,0,99,5.52146091786225
"699",1043,12,11,29,0,11,12,0,1,1,1,96,6.94985645500077
"1109",625,16,6,28,0,12,12,0,1,0,0,111,6.4377516497364
"2989",265,10,15,31,1,0,2,1,1,0,0,NA,5.57972982598622
"2259",615,12,6,24,0,11,10,0,1,1,0,107,6.42162226780652
"1165",705,17,10,33,0,NA,NA,0,1,1,1,96,6.55819780281227
"2225",500,15,5,26,0,12,12,0,1,1,1,76,6.21460809842219
"2468",401,12,10,28,0,7,6,1,0,1,0,86,5.99396142730657
"521",925,14,9,29,0,10,8,0,1,0,0,122,6.82979373751242
"1327",913,16,10,32,0,10,11,0,1,1,0,118,6.81673588059497
"1038",250,14,5,25,0,9,12,0,0,0,0,NA,5.52146091786225
"644",503,12,10,28,1,9,11,1,0,1,1,109,6.22059017009974
"1227",440,8,19,33,0,NA,NA,0,0,0,1,NA,6.08677472691231
"1733",245,12,12,30,1,NA,12,1,1,1,1,NA,5.50125821054473
"360",600,12,14,32,0,10,10,0,0,1,1,NA,6.39692965521615
"1795",240,9,15,30,1,3,5,1,0,0,1,NA,5.48063892334199
"331",1065,12,9,27,0,12,12,0,1,1,1,97,6.97073007814353
"2021",641,18,8,32,0,NA,13,1,0,1,1,103,6.46302945692067
"987",529,13,7,26,0,8,8,1,1,0,1,134,6.2709884318583
"2322",400,13,15,34,0,12,12,0,1,1,1,NA,5.99146454710798
"2501",750,12,7,25,0,4,12,1,1,0,1,100,6.62007320653036
"1359",568,12,8,26,0,10,12,0,0,1,0,105,6.34212141872115
"2361",670,12,16,34,0,NA,12,0,1,0,1,NA,6.50727771238501
"663",721,15,6,27,0,17,12,0,1,0,1,116,6.58063913728495
"568",604,18,9,33,0,12,12,0,0,0,1,119,6.40357419793482
"1100",667,14,8,28,0,12,8,0,1,0,0,123,6.50279004591562
"324",615,15,7,28,0,9,10,0,1,1,1,122,6.42162226780652
"122",325,12,6,24,0,12,12,0,1,0,1,102,5.78382518232974
"2389",683,13,13,32,0,13,12,0,0,0,0,NA,6.52649485957079
"1291",411,12,9,27,0,12,NA,0,0,0,0,92,6.01859321449623
"1115",641,16,3,25,0,12,12,0,1,1,1,130,6.46302945692067
"784",350,12,7,25,1,9,10,0,1,1,1,74,5.85793315448346
"817",684,12,6,24,1,9,11,0,1,0,1,NA,6.52795791762255
"1537",435,13,5,24,1,10,11,1,1,1,1,NA,6.07534603108868
"609",350,12,11,29,0,4,8,0,0,0,0,107,5.85793315448346
"2594",300,15,4,25,1,NA,8,0,1,0,0,NA,5.7037824746562
"1510",417,16,6,28,0,2,8,1,0,0,1,112,6.0330862217988
"196",1265,18,5,29,0,18,12,0,1,1,1,117,7.14282740116162
"242",795,12,16,34,0,12,NA,0,0,0,1,110,6.67834211465433
"1199",625,14,6,26,0,12,10,0,1,1,1,104,6.4377516497364
"1677",505,12,9,27,1,8,NA,0,1,0,1,76,6.22455842927536
"205",686,12,10,28,0,12,NA,0,1,0,1,97,6.53087762772588
"1569",625,12,13,31,0,NA,12,1,1,1,1,101,6.4377516497364
"1897",350,13,5,24,0,8,7,1,1,1,0,117,5.85793315448346
"2580",529,16,2,24,1,12,12,1,1,0,1,NA,6.2709884318583
"79",283,12,6,24,0,NA,12,0,1,1,1,NA,5.64544689764324
"59",673,13,13,32,0,10,12,0,1,1,1,123,6.51174532964473
"1031",600,13,6,25,0,13,12,0,0,0,0,NA,6.39692965521615
"2843",300,11,12,29,1,NA,1,1,0,1,0,NA,5.7037824746562
"1570",280,12,11,29,1,NA,10,1,1,1,1,70,5.63478960316925
"102",512,12,8,26,0,10,12,0,1,0,1,97,6.23832462503951
"150",654,16,4,26,0,11,12,0,1,0,1,104,6.4831073514572
"1501",275,12,16,34,1,8,6,1,1,0,1,95,5.61677109766657
"2129",400,13,7,26,0,NA,8,0,1,1,1,82,5.99146454710798
"2738",465,11,13,30,1,NA,NA,1,0,0,1,NA,6.14203740558736
"436",1216,18,8,32,0,NA,10,0,1,1,1,127,7.10332206252611
"351",714,13,8,27,0,12,12,0,1,1,1,101,6.57088296233958
"709",640,12,10,28,0,NA,8,0,1,1,1,NA,6.46146817635372
"1157",897,18,4,28,0,12,12,0,1,1,1,121,6.7990558620588
"1305",675,9,19,34,1,4,7,0,1,0,0,92,6.51471269087253
"618",400,16,4,26,0,16,14,0,0,1,1,116,5.99146454710798
"850",702,16,8,30,0,9,9,0,1,1,1,110,6.55393340402581
"1211",649,13,7,26,0,13,12,0,0,0,0,101,6.47543271670409
"347",208,11,8,25,0,14,12,0,1,1,1,NA,5.33753807970132
"538",639,12,7,25,0,12,12,0,0,0,1,116,6.45990445437753
"1518",620,16,6,28,1,NA,10,1,1,0,1,96,6.42971947803914
"236",929,17,6,29,0,14,12,0,1,0,1,91,6.83410873881384
"691",441,18,6,30,0,12,14,0,0,0,1,107,6.08904487544685
"689",243,16,3,25,0,16,13,0,1,0,1,121,5.49306144334055
"1596",263,13,5,24,1,6,12,1,1,1,1,85,5.57215403217776
"1298",600,11,16,33,1,8,8,0,1,0,0,91,6.39692965521615
"706",662,12,7,25,0,7,8,0,1,1,1,97,6.49526555593701
"484",710,12,15,33,0,12,8,0,1,1,1,NA,6.56526497003536
"389",1014,12,14,32,0,NA,12,1,1,1,1,82,6.92165818415113
"2998",513,16,8,30,1,16,16,1,1,0,1,82,6.24027584517077
"1061",336,16,2,24,0,16,13,0,1,0,1,122,5.8171111599632
"1206",315,12,15,33,0,7,12,0,1,0,0,94,5.75257263882563
"1701",359,14,4,24,0,9,12,1,1,0,1,120,5.88332238848828
"1375",286,12,6,24,0,12,11,0,0,0,0,106,5.65599181081985
"2520",423,15,10,31,0,NA,NA,1,1,0,1,101,6.04737217904628
"2101",801,17,5,28,0,18,16,0,1,1,1,126,6.68586094706836
"1091",427,15,5,26,0,12,15,0,1,1,0,109,6.05678401322862
"1000",519,14,4,24,0,12,12,0,1,0,1,NA,6.25190388316589
"2323",577,16,12,34,0,15,18,0,0,1,1,109,6.3578422665081
"1571",500,10,12,28,0,8,7,1,1,1,1,75,6.21460809842219
"2773",225,6,17,29,0,NA,12,0,1,1,1,NA,5.41610040220442
"2878",176,8,12,26,1,4,8,1,0,1,0,NA,5.17048399503815
"1105",520,12,10,28,0,12,6,0,0,0,0,95,6.25382881157547
"2981",625,16,8,30,1,5,8,1,0,0,0,78,6.4377516497364
"442",815,16,3,25,0,17,12,1,1,1,1,118,6.70318811324086
"354",579,12,16,34,0,5,2,0,1,1,1,88,6.361302477573
"957",337,15,6,27,0,11,12,0,1,0,1,105,5.82008293035236
"2082",1068,16,9,31,0,14,16,1,1,1,1,109,6.97354301952014
"2546",1000,12,10,28,1,8,8,0,1,1,0,83,6.90775527898214
"874",654,14,12,32,0,8,8,0,1,0,1,109,6.4831073514572
"147",737,18,9,33,0,12,12,1,1,0,1,134,6.60258789218934
"1609",841,16,6,28,0,10,12,1,1,1,0,92,6.73459165997295
"1735",641,14,6,26,0,8,10,1,1,1,1,103,6.46302945692067
"1446",328,10,11,27,1,4,11,1,1,1,1,NA,5.79301360838414
"1357",1055,13,14,33,0,NA,8,0,0,1,0,109,6.96129604591017
"2822",325,5,21,32,1,0,7,1,0,0,0,NA,5.78382518232974
"2009",535,12,14,32,1,NA,NA,1,1,0,1,75,6.28226674689601
"1636",364,12,9,27,0,5,8,1,1,1,1,NA,5.89715386763674
"1899",558,13,9,28,0,NA,7,1,0,1,0,NA,6.32435896238131
"493",577,13,7,26,0,12,11,0,1,1,1,102,6.3578422665081
"669",271,12,8,26,0,NA,NA,0,1,0,1,91,5.6021188208797
"2175",343,12,6,24,0,0,4,0,1,1,1,NA,5.83773044716594
"2298",550,14,8,28,0,12,NA,0,1,1,1,104,6.30991827822652
"118",750,15,6,27,0,8,11,0,1,0,1,103,6.62007320653036
"362",625,16,2,24,0,NA,NA,0,1,1,1,NA,6.4377516497364
"851",1322,16,12,34,0,NA,12,0,1,1,1,117,7.18690102041163
"811",398,13,5,24,0,8,8,0,1,0,1,116,5.98645200528444
"1277",267,12,10,28,1,12,8,0,1,0,1,95,5.58724865840025
"2667",962,16,6,28,0,12,16,1,0,0,0,132,6.86901445066571
"1606",813,16,3,25,1,18,18,1,1,1,0,111,6.70073110954781
"2172",1200,15,6,27,0,13,12,0,1,1,1,95,7.09007683577609
"1495",615,13,5,24,0,13,11,1,1,0,1,NA,6.42162226780652
"1855",375,12,6,24,1,NA,5,1,0,0,1,NA,5.92692602597041
"534",549,12,11,29,0,12,12,0,0,0,0,95,6.30809844150953
"76",1012,17,4,27,0,12,12,0,1,1,1,101,6.91968384984741
"2671",250,10,8,24,1,NA,NA,1,0,0,0,NA,5.52146091786225
"1786",299,12,16,34,0,NA,NA,1,0,0,1,93,5.70044357339069
"1271",325,12,14,32,0,6,12,0,0,0,0,102,5.78382518232974
"2542",188,15,4,25,1,4,10,1,0,1,0,60,5.23644196282995
