crimeRate_pc,nonRetailBusiness,withWater,ageHouse,distanceToCity,distanceToHighway,pupilTeacherRatio,pctLowIncome,homeValue,pollutionIndex,nBedRooms
7.52601,0.181,0,98.3,3.492386543,24,23.2,24,292500,56.3,4.417
0.1676,0.0738,0,52.3,11.25513177,5,22.6,9,535500,34.3,4.426
0.03445,0.0203,0,38.4,18.86375144,2,17.7,9,542250,26.5,4.162
0.21124,0.0787,0,100,17.96741878,5,18.2,38,371250,37.4,3.631
0.35114,0.0738,0,49.9,11.98033933,5,22.6,9,459000,34.3,4.041
5.70818,0.181,0,74.9,6.859072955,24,23.2,9,533250,38.2,4.75
0.41238,0.062,0,79.9,6.480982384,8,20.4,7,711000,35.4,5.163
0.05372,0.1392,0,51,17.39564954,4,19,9,609750,28.7,4.549
0.20746,0.2774,0,98,2.612800109,4,23.1,38,182250,45.9,3.093
4.87141,0.181,0,93.6,3.805081125,24,23.2,23,375750,46.4,4.484
13.9134,0.181,0,95,3.588004914,24,23.2,19,263250,56.3,4.208
1.15172,0.0814,0,95,8.419943648,4,24,23,294750,38.8,3.701
7.36711,0.181,0,78.1,2.876768943,24,23.2,27,247500,52.9,4.193
0.09266,0.0609,0,18.4,15.25916915,7,19.1,10,594000,28.3,4.495
0.38735,0.2565,0,95.6,2.464415385,2,22.1,35,353250,43.1,3.613
0.03615,0.0495,0,23.4,13.62648765,4,22.2,5,627750,26.1,4.63
0.23912,0.0969,0,65.3,4.082890421,6,22.2,16,477000,43.5,4.019
11.5779,0.181,0,97,2.49320062,24,23.2,33,218250,55,3.036
14.0507,0.181,0,100,1.969563332,24,23.2,27,387000,44.7,4.657
20.0849,0.181,0,91.2,1.791177688,24,23.2,39,198000,55,2.368
1.23247,0.0814,0,91.7,9.104822281,4,24,24,342000,38.8,4.142
3.67367,0.181,0,51.9,9.159096409,24,23.2,13,477000,43.3,4.312
2.77974,0.1958,0,97.8,1.608497792,5,17.7,37,265500,72.1,2.903
9.2323,0.181,0,100,1.283993002,24,23.2,12,1125000,48.1,4.216
0.02177,0.0203,0,15.7,18.86375144,2,17.7,3,951750,26.5,5.61
0.54452,0.2189,0,97.9,2.26884708,4,24.2,23,400500,47.4,4.151
0.06724,0.0324,0,17.2,14.04603029,4,19.9,9,508500,31,4.333
0.09178,0.0405,0,84.1,4.744850386,5,19.6,11,531000,36,4.416
0.05023,0.0606,0,28.4,20.67960207,1,19.9,15,384750,28.79,3.706
9.72418,0.181,0,97.2,3.190845224,24,23.2,25,384750,59,4.406
2.3139,0.1958,0,97.3,4.027713543,5,17.7,15,429750,45.5,3.88
4.55587,0.181,0,87.9,2.149320304,24,23.2,8,618750,56.8,1.561
0.79041,0.099,0,52.8,4.727649173,4,21.4,7,497250,39.4,4.122
0.26938,0.099,0,82.8,6.633530431,4,21.4,9,486000,39.4,4.266
0.11425,0.1389,1,92.4,6.963458179,5,19.4,13,517500,40,4.373
24.8017,0.181,0,96,2.343483102,24,23.2,25,186750,54.3,3.349
7.75223,0.181,0,83.7,5.14335023,24,23.2,20,335250,56.3,4.301
0.18836,0.0691,0,33.3,13.55709937,3,20.9,18,450000,29.8,3.786
0.01301,0.0152,0,49.3,22.69389007,1,18.5,6,735750,29.2,5.241
0.2498,0.2189,0,98.2,2.26862954,4,24.2,27,299250,47.4,3.857
5.82115,0.181,0,89.9,5.198161951,24,23.2,13,454500,56.3,4.513
0.01709,0.0202,0,36.1,54.19718798,5,20,5,677250,26,4.728
20.7162,0.181,0,100,1.299844646,24,23.2,30,267750,50.9,2.138
2.33099,0.1958,0,93.8,1.973897513,5,17.7,36,400500,72.1,3.186
0.10084,0.1001,0,81.6,4.834673689,6,20.8,12,513000,39.7,4.715
0.12329,0.1001,0,92.9,3.932902668,6,20.8,20,423000,39.7,3.913
4.34879,0.181,0,84,5.903199926,24,23.2,20,447750,43,4.167
0.40202,0.099,0,67.2,7.532367014,4,21.4,13,519750,39.4,4.382
0.17446,0.1059,1,92.1,8.742008095,4,21.6,22,488250,33.9,3.96
0.04417,0.0224,0,47.4,26.90441501,5,17.8,7,558000,25,4.871
0.24103,0.0738,0,43.7,14.92358003,5,22.6,16,499500,34.3,4.083
0.80271,0.0814,0,36.6,8.453050173,4,24,14,454500,38.8,3.456
0.0456,0.1389,1,56,6.150149455,5,19.4,17,524250,40,3.888
0.17134,0.1001,0,88.2,4.230301008,6,20.8,20,411750,39.7,3.928
